License Number,Business Name,Business Unique ID,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,City,State,ZIP Code,Borough,Community Board,Council District,NTA,Latitude,Longitude
2136050-DCWP,1-A AUTO COLLISION INC.,BA-1780564-2026,Secondhand Dealer - General,Premises,Active,2026-07-09,2027-07-31,BRONX,NY,10457,Bronx,206.0,15.0,BX17,40.84733,-73.892814
2092064-DCA,10 MOUNT EDEN WIRELESS INC,BA-1118330-2022,Electronics Store,Premises,Expired,2019-11-07,2022-12-31,BRONX,NY,10452,Bronx,204.0,16.0,BX63,40.84422,-73.914461
1427877-DCA,10 NEIGHBORHOOD CANDY GROCERY CORP.,BA-1103937-2022,Tobacco Retail Dealer,Premises,Active,2012-05-04,2027-12-31,BRONX,NY,10467,Bronx,207.0,11.0,BX43,40.88291,-73.881672
2119830-DCWP,1000 MEAT AND FOOD CORP.,BA-1688509-2024,Stoop Line Stand,Premises,Active,2024-03-19,2028-03-31,BRONX,NY,10456,Bronx,204.0,16.0,BX14,40.82901,-73.916551
1045490-DCA,"1001 FREEMAN GROCERY, INC.",BA-1075717-2022,Tobacco Retail Dealer,Premises,Expired,2000-12-05,2022-12-31,BRONX,NY,10459,Bronx,203.0,17.0,BX75,40.82932,-73.887578
2136880-DCWP,1010 WASHINGTON PARKING INC.,BA-1781551-2026,Garage & Parking Lot,Premises,Active,2026-08-14,2027-03-31,BRONX,NY,10456,Bronx,203.0,16.0,BX35,40.82634,-73.909635
2130734-DCWP,1019 GARRISON AUTOMOTIVE INC.,BA-1742688-2025,Secondhand Dealer - General,Premises,Active,2025-08-22,2027-07-31,BRONX,NY,10474,Bronx,202.0,17.0,BX27,40.81888,-73.890266
1148651-DCA,1020 PARKING LLC,BA-1103921-2022,Garage & Parking Lot,Premises,Active,2003-08-18,2027-03-31,BRONX,NY,10451,Bronx,204.0,16.0,BX14,40.83031,-73.920785
1274043-DCA,1029 FOOD PLAZA INC.,BA-1103552-2022,Tobacco Retail Dealer,Premises,Active,2007-12-10,2027-12-31,BRONX,NY,10453,Bronx,205.0,14.0,BX41,40.85485,-73.903444
2003758-999-DCA,1029 SIMPSON DELI & GROCERY CORP,BA-1101729-2022,Tobacco Retail Dealer,Premises,Active,2014-02-21,2027-12-31,BRONX,NY,10459,Bronx,202.0,17.0,BX27,40.82413,-73.892992
